太陽電池変換効率,放射束(W),光束(lm),LED効率
0,+Inf,+Inf,+Inf
0.01,3.6000,2458.8000,100.0000
0.02,1.8000,1229.4000,50.0000
0.03,1.2000,819.6000,33.3333
0.04,0.9000,614.7000,25.0000
0.05,0.7200,491.7600,20.0000
0.06,0.6000,409.8000,16.6667
0.07,0.5143,351.2571,14.2857
0.08,0.4500,307.3500,12.5000
0.09,0.4000,273.2000,11.1111
0.1,0.3600,245.8800,10.0000
0.11,0.3273,223.5273,9.0909
0.12,0.3000,204.9000,8.3333
0.13,0.2769,189.1385,7.6923
0.14,0.2571,175.6286,7.1429
0.15,0.2400,163.9200,6.6667
0.16,0.2250,153.6750,6.2500
0.17,0.2118,144.6353,5.8824
0.18,0.2000,136.6000,5.5556
0.19,0.1895,129.4105,5.2632
0.2,0.1800,122.9400,5.0000
0.21,0.1714,117.0857,4.7619
0.22,0.1636,111.7636,4.5455
0.23,0.1565,106.9043,4.3478
0.24,0.1500,102.4500,4.1667
0.25,0.1440,98.3520,4.0000
0.26,0.1385,94.5692,3.8462
0.27,0.1333,91.0667,3.7037
0.28,0.1286,87.8143,3.5714
0.29,0.1241,84.7862,3.4483
0.3,0.1200,81.9600,3.3333
0.31,0.1161,79.3161,3.2258
0.32,0.1125,76.8375,3.1250
0.33,0.1091,74.5091,3.0303
0.34,0.1059,72.3176,2.9412
0.35,0.1029,70.2514,2.8571
0.36,0.1000,68.3000,2.7778
0.37,0.0973,66.4541,2.7027
0.38,0.0947,64.7053,2.6316
0.39,0.0923,63.0462,2.5641
0.4,0.0900,61.4700,2.5000
0.41,0.0878,59.9707,2.4390
0.42,0.0857,58.5429,2.3810
0.43,0.0837,57.1814,2.3256
0.44,0.0818,55.8818,2.2727
0.45,0.0800,54.6400,2.2222
0.46,0.0783,53.4522,2.1739
0.47,0.0766,52.3149,2.1277
0.48,0.0750,51.2250,2.0833
0.49,0.0735,50.1796,2.0408
0.5,0.0720,49.1760,2.0000
0.51,0.0706,48.2118,1.9608
0.52,0.0692,47.2846,1.9231
0.53,0.0679,46.3925,1.8868
0.54,0.0667,45.5333,1.8519
0.55,0.0655,44.7055,1.8182
0.56,0.0643,43.9071,1.7857
0.57,0.0632,43.1368,1.7544
0.58,0.0621,42.3931,1.7241
0.59,0.0610,41.6746,1.6949
0.6,0.0600,40.9800,1.6667
0.61,0.0590,40.3082,1.6393
0.62,0.0581,39.6581,1.6129
0.63,0.0571,39.0286,1.5873
0.64,0.0562,38.4187,1.5625
0.65,0.0554,37.8277,1.5385
0.66,0.0545,37.2545,1.5152
0.67,0.0537,36.6985,1.4925
0.68,0.0529,36.1588,1.4706
0.69,0.0522,35.6348,1.4493
0.7,0.0514,35.1257,1.4286
0.71,0.0507,34.6310,1.4085
0.72,0.0500,34.1500,1.3889
0.73,0.0493,33.6822,1.3699
0.74,0.0486,33.2270,1.3514
0.75,0.0480,32.7840,1.3333
0.76,0.0474,32.3526,1.3158
0.77,0.0468,31.9325,1.2987
0.78,0.0462,31.5231,1.2821
0.79,0.0456,31.1241,1.2658
0.8,0.0450,30.7350,1.2500
0.81,0.0444,30.3556,1.2346
0.82,0.0439,29.9854,1.2195
0.83,0.0434,29.6241,1.2048
0.84,0.0429,29.2714,1.1905
0.85,0.0424,28.9271,1.1765
0.86,0.0419,28.5907,1.1628
0.87,0.0414,28.2621,1.1494
0.88,0.0409,27.9409,1.1364
0.89,0.0404,27.6270,1.1236
0.9,0.0400,27.3200,1.1111
0.91,0.0396,27.0198,1.0989
0.92,0.0391,26.7261,1.0870
0.93,0.0387,26.4387,1.0753
0.94,0.0383,26.1574,1.0638
0.95,0.0379,25.8821,1.0526
0.96,0.0375,25.6125,1.0417
0.97,0.0371,25.3485,1.0309
0.98,0.0367,25.0898,1.0204
0.99,0.0364,24.8364,1.0101
