LEDの効率,放射束(W),光束(lm),付加する電力
1,0.0360,24.5880,0.0277
1.01,0.0364,24.3446,0.0276
1.02,0.0367,24.1059,0.0276
1.03,0.0371,23.8718,0.0275
1.04,0.0374,23.6423,0.0274
1.05,0.0378,23.4171,0.0273
1.06,0.0382,23.1962,0.0272
1.07,0.0385,22.9794,0.0271
1.08,0.0389,22.7667,0.0271
1.09,0.0392,22.5578,0.0270
1.1,0.0396,22.3527,0.0269
1.11,0.0400,22.1514,0.0268
1.12,0.0403,21.9536,0.0267
1.13,0.0407,21.7593,0.0266
1.14,0.0410,21.5684,0.0266
1.15,0.0414,21.3809,0.0265
1.16,0.0418,21.1966,0.0264
1.17,0.0421,21.0154,0.0263
1.18,0.0425,20.8373,0.0262
1.19,0.0428,20.6622,0.0261
1.2,0.0432,20.4900,0.0261
1.21,0.0436,20.3207,0.0260
1.22,0.0439,20.1541,0.0259
1.23,0.0443,19.9902,0.0258
1.24,0.0446,19.8290,0.0257
1.25,0.0450,19.6704,0.0256
1.26,0.0454,19.5143,0.0256
1.27,0.0457,19.3606,0.0255
1.28,0.0461,19.2094,0.0254
1.29,0.0464,19.0605,0.0253
1.3,0.0468,18.9138,0.0252
1.31,0.0472,18.7695,0.0252
1.32,0.0475,18.6273,0.0251
1.33,0.0479,18.4872,0.0250
1.34,0.0482,18.3493,0.0249
1.35,0.0486,18.2133,0.0248
1.36,0.0490,18.0794,0.0247
1.37,0.0493,17.9474,0.0247
1.38,0.0497,17.8174,0.0246
1.39,0.0500,17.6892,0.0245
1.4,0.0504,17.5629,0.0244
1.41,0.0508,17.4383,0.0243
1.42,0.0511,17.3155,0.0242
1.43,0.0515,17.1944,0.0242
1.44,0.0518,17.0750,0.0241
1.45,0.0522,16.9572,0.0240
1.46,0.0526,16.8411,0.0239
1.47,0.0529,16.7265,0.0238
1.48,0.0533,16.6135,0.0237
1.49,0.0536,16.5020,0.0237
1.5,0.0540,16.3920,0.0236
1.51,0.0544,16.2834,0.0235
1.52,0.0547,16.1763,0.0234
1.53,0.0551,16.0706,0.0233
1.54,0.0554,15.9662,0.0232
1.55,0.0558,15.8632,0.0232
1.56,0.0562,15.7615,0.0231
1.57,0.0565,15.6611,0.0230
1.58,0.0569,15.5620,0.0229
1.59,0.0572,15.4642,0.0228
1.6,0.0576,15.3675,0.0228
1.61,0.0580,15.2720,0.0227
1.62,0.0583,15.1778,0.0226
1.63,0.0587,15.0847,0.0225
1.64,0.0590,14.9927,0.0224
1.65,0.0594,14.9018,0.0223
1.66,0.0598,14.8120,0.0223
1.67,0.0601,14.7234,0.0222
1.68,0.0605,14.6357,0.0221
1.69,0.0608,14.5491,0.0220
1.7,0.0612,14.4635,0.0219
1.71,0.0616,14.3789,0.0218
1.72,0.0619,14.2953,0.0218
1.73,0.0623,14.2127,0.0217
1.74,0.0626,14.1310,0.0216
1.75,0.0630,14.0503,0.0215
1.76,0.0634,13.9705,0.0214
1.77,0.0637,13.8915,0.0213
1.78,0.0641,13.8135,0.0213
1.79,0.0644,13.7363,0.0212
1.8,0.0648,13.6600,0.0211
1.81,0.0652,13.5845,0.0210
1.82,0.0655,13.5099,0.0209
1.83,0.0659,13.4361,0.0208
1.84,0.0662,13.3630,0.0208
1.85,0.0666,13.2908,0.0207
1.86,0.0670,13.2194,0.0206
1.87,0.0673,13.1487,0.0205
1.88,0.0677,13.0787,0.0204
1.89,0.0680,13.0095,0.0204
1.9,0.0684,12.9411,0.0203
1.91,0.0688,12.8733,0.0202
1.92,0.0691,12.8062,0.0201
1.93,0.0695,12.7399,0.0200
1.94,0.0698,12.6742,0.0199
1.95,0.0702,12.6092,0.0199
1.96,0.0706,12.5449,0.0198
1.97,0.0709,12.4812,0.0197
1.98,0.0713,12.4182,0.0196
1.99,0.0716,12.3558,0.0195
