電圧,電流,電力
1.400,2.870,0.02
1.405,3.200,0.024
1.410,3.570,0.028
1.415,3.963,0.034
1.420,4.408,0.04
1.425,4.910,0.050
1.430,5.528,0.60
1.435,6.155,0.76
1.440,6.860,0.093
1.445,7.870,0.113
1.450,8.670,0.145
1.455,9.730,0.163
1.460,10.84,0.204
1.465,12.2,0.255
1.470,13.84,0.303
1.475,15.60,0.345
1.480,17.60,0.438
1.485,19.90,0.500
1.490,22.54,0.600
1.495,25.79,0.841
1.500,29.26,1.021
1.505,33.30,1.178
1.510,37.93,1.387
1.515,43.70,1.734
1.520,49.934,2.084
1.525,57.11,2.753
1.530,65.45,3.354
1.535,75.85,4.140
1.540,87.10,5.045
1.545,100.233,6.154
1.550,124.05,7.377
1.555,132.3,9.072
1.560,152.1,11.0
1.565,0.179,13.338
1.570,201.2,19.85
1.575,235.8,20.00
1.580,269.6,24.01
1.585,312.0,29.18
1.590,358.4,35.19
1.595,413.5,42.30
1.600,480.0,51.46
1.605,552.0,61`.68
1.610,635.5,73.83
1.615,730.1,88.11
1.620,846.7,106.02
1.625,971.5,125.72
1.630,1131,141.0
1.635,1250,172.7
1.640,1450,205.1
1.645,1646\,238.8
1.650,1892,276.7
s
